resp	dislex	QI	QI2	intera
0.99	-1	-0.399	0.159201	0.399
0.64038	1	-0.162	0.026244	-0.162
0.99	-1	-0.914	0.835396	0.914
0.60916	1	-0.874	0.763876	-0.874
0.99	-1	1.738	3.020644	-1.738
0.99	-1	0.59	0.3481	-0.59
0.99	-1	0.907	0.822649	-0.907
0.53424	1	-0.993	0.986049	-0.993
0.99	-1	1.223	1.495729	-1.223
0.67159	1	-0.518	0.268324	-0.518
0.91508	-1	0.471	0.221841	-0.471
0.99	-1	-0.201	0.040401	0.201
0.70281	-1	-0.043	0.001849	0.043
0.99	-1	0.59	0.3481	-0.59
0.45932	1	-0.795	0.632025	-0.795
0.77148	-1	-0.281	0.078961	0.281
0.57794	1	-1.191	1.418481	-1.191
0.99	-1	1.856	3.444736	-1.856
0.54048	1	0.709	0.502681	0.709
0.62165	1	-1.507	2.271049	-1.507
0.54673	1	-1.745	3.045025	-1.745
0.70905	-1	-0.795	0.632025	0.795
0.57794	1	-0.083	0.006889	-0.083
0.99	-1	0.511	0.261121	-0.511
0.70281	1	-1.23	1.5129	-1.23
0.60916	1	0.313	0.097969	0.313
0.88386	-1	-0.676	0.456976	0.676
0.73402	-1	-0.281	0.078961	0.281
0.99	-1	1.619	2.621161	-1.619
0.64662	-1	0.59	0.3481	-0.59
0.88386	-1	0.827	0.683929	-0.827
0.5717	1	1.223	1.495729	1.223
0.66535	1	-1.27	1.6129	-1.27
0.76524	-1	0.59	0.3481	-0.59
0.95878	-1	1.144	1.308736	-1.144
0.59043	1	-1.666	2.775556	-1.666
0.68408	1	-0.439	0.192721	-0.439
0.69032	1	-1.745	3.045025	-1.745
0.98376	-1	1.144	1.308736	-1.144
0.66535	-1	0.471	0.221841	-0.471
0.99	-1	-0.043	0.001849	0.043
0.65286	1	-0.281	0.078961	-0.281
0.56546	1	-0.162	0.026244	-0.162
0.99	-1	1.777	3.157729	-1.777
