TUCURUI	FURNAS	AVERMELHA	S.DO FACÃO	NOVA PONTE	SÃO SIMÃO	EMBORCAÇÃO	ITUMBIARA	CHAVANTES	CAPIVARA	TRÊS MARIAS	B. BONITA	SERRA DA MESA	IRAPE	ITAPARICA	SOBRADINHO	G. P. SOUZA	SALTO SANTIAGO	SANTA CLARA-PR	SEGREDO	G. B. MUNHOZ	MAUA	PASSO FUNDO	MACHADINHO	CAMPOS NOVOS	BARRA GRANDE
0.3669	0.955	0.771	0.6088	0.5875	0.4509	0.4024	0.3433	0.6153	0.812	0.778	0.8111	0.5787	0.7843	0.4303	0.5324	0.9876	0.9959	1.0194	0.9897	0.958	0.4234	0.7709	0.7147	0.996	0.6467
0.8251	0.9818	0.9925	0.6626	0.5968	0.5176	0.4225	0.415	0.7867	0.981	0.7746	0.8769	0.6166	0.7399	0.5427	0.5384	0.9456	0.9944	0.6918	0.9835	0.9513	0.6692	0.787	0.9971	0.97	0.9939
0.9862	0.9905	0.9888	0.9906	0.7273	0.9043	0.596	0.8613	0.8802	0.973	0.9841	0.8986	0.7228	0.9092	0.5531	0.6704	0.8685	0.9753	0.4587	0.9009	0.9159	0.5177	0.7841	0.9808	0.978	0.9955
0.9923	0.9894	0.9565	1.0133	0.7996	0.9066	0.6892	0.9902	0.929	0.987	0.9901	0.9404	0.7704	0.9277	0.8842	0.8548	0.8103	0.9497	0.3701	0.6737	0.5694	0.6526	0.854	0.7497	0.804	0.8961
0.9992	0.9402	0.9664	1.0013	0.8332	0.9638	0.7297	0.9829	0.8501	0.9513	0.9841	0.9915	0.7766	0.8931	0.9656	0.8601	0.7381	0.7823	0.4068	0.8081	0.4253	0.9988	0.8411	0.6237	0.234	0.7549
0.9093	0.8937	0.9332	1.007	0.8107	0.9413	0.7233	0.9823	0.8514	0.8353	0.9304	0.951	0.7614	0.8377	0.9563	0.8153	0.7071	0.9547	1.0218	1.0167	0.9735	0.9988	0.8899	0.9197	0.59	0.7474
0.8603	0.8137	0.7352	0.995	0.7698	0.9144	0.6996	0.9481	0.8198	0.8259	0.8811	0.8566	0.7385	0.7629	0.8932	0.7493	0.9761	0.9924	1.0364	1	0.936	0.8967	0.9925	0.9875	0.966	0.9866
0.6399	0.7252	0.6651	0.98	0.7228	0.8943	0.6452	0.8204	0.7648	0.976	0.7992	0.8122	0.7013	0.6671	0.9611	0.6393	0.8593	0.8877	0.9109	0.9917	0.9929	0.872	0.9925	0.9934	0.986	0.9976
0.3532	0.6634	0.6584	0.886	0.6656	0.6864	0.5994	0.6061	0.6633	0.9395	0.7039	0.6181	0.6381	0.5957	0.9045	0.5304	0.8253	1.0005	0.994	0.9938	0.995	1	0.9755	0.9786	0.99	0.9522
0.2166	0.5936	0.557	0.8098	0.6248	0.7046	0.583	0.5075	0.7438	0.9711	0.6368	0.6699	0.5886	0.5444	0.9112	0.4144	0.7521	0.9577	0.7433	0.9629	0.7915	0.9988	0.9369	0.7933	0.802	0.7898
0.3292	0.7194	0.4837	0.7351	0.5893	0.8168	0.5625	0.3818	0.7119	0.9007	0.5963	0.5455	0.5673	0.5959	0.6695	0.3741	0.778	0.7292	0.5034	0.7591	0.5558	0.776	0.8402	0.3527	0.232	0.4876
0.3573	0.9402	0.6131	0.845	0.6194	0.745	0.6376	0.3603	0.6105	0.7617	0.7823	0.4942	0.6139	0.8679	0.5469	0.4725	0.85	0.615	0.896	0.9092	0.7509	0.8708	0.6997	0.2895	0.36	0.3275
0.8724	0.9459	0.799	0.9521	0.7352	0.8431	0.7988	0.5479	0.644	0.789	0.8392	0.7561	0.7202	0.8955	0.4841	0.6897	0.6326	0.5482	0.9423	0.9876	0.57	0.9316	0.6089	0.6535	0.678	0.4031
0.9869	0.8976	0.9393	0.9479	0.7508	0.9323	0.8646	0.6162	0.6291	0.6807	0.8922	0.8894	0.7675	0.8777	0.5571	0.8745	0.332	0.6207	0.5199	0.6737	0.2506	0.4091	0.4857	0.4223	0.686	0.3012
0.9908	0.8417	0.8013	0.9653	0.7314	0.965	0.8433	0.5901	0.5434	0.5023	0.9014	0.9252	0.7822	0.8465	0.6929	0.8029	0.351	0.5844	0.9053	0.7814	0.4028	0.2624	0.3729	0.0722	0.15	0.1715
1.0008	0.7866	0.7227	0.9641	0.7283	0.8976	0.8269	0.5667	0.512	0.3972	0.9026	0.9736	0.7744	0.7683	0.592	0.7601	0.4067	0.6727	0.8591	0.7021	0.8135	0.4977	0.3091	0.1124	0.49	0.0996
0.9687	0.7693	0.6473	0.9062	0.685	0.9043	0.7826	0.5083	0.5511	0.4057	0.8719	0.9664	0.7379	0.7384	0.8864	0.6371	0.6066	0.9965	1.0081	1	0.9914	0.108	0.2957	0.0966	0.806	0.028
0.9247	0.7108	0.6098	0.8467	0.657	0.9066	0.7532	0.4573	0.7594	0.937	0.8257	0.9498	0.7151	0.6928	0.9679	0.5464	0.277	0.9853	1.0081	0.9979	0.9828	0.3713	0.3281	0.7426	0.782	0.1732
0.6967	0.6107	0.5169	0.7538	0.6007	0.7885	0.7045	0.4224	0.786	0.8972	0.7654	0.77	0.6873	0.6582	0.9451	0.481	0.2785	0.9151	0.56	0.7021	0.7809	0.4678	0.45	0.9285	0.99	0.4064
0.4155	0.4827	0.2177	0.6404	0.5421	0.5873	0.6381	0.3486	0.7136	0.7264	0.693	0.6619	0.6436	0.6232	0.9112	0.3851	0.2785	0.6848	0.2351	0.633	0.3368	0.5859	0.5435	0.4353	0.516	0.4218
0.2326	0.283	0.1688	0.5874	0.4858	0.3747	0.5605	0.2341	0.5682	0.5949	0.5863	0.6609	0.5662	0.5487	0.8332	0.2964	0.3966	0.2811	0.4593	0.7672	0.3201	0.9988	0.5305	0.3312	0.4019	0.3567
0.1599	0.16	0.1447	0.4665	0.4174	0.2918	0.4708	0.0996	0.3975	0.4118	0.4702	0.6006	0.4703	0.4509	0.636	0.2404	0.384	0.2493	0.8351	0.8762	0.2585	0.9054	0.6124	0.4655	0.74	0.3332
0.1739	0.1247	0.1579	0.377	0.351	0.1955	0.4425	0.1343	0.2816	0.3143	0.4479	0.538	0.4231	0.5278	0.4303	0.2793	0.4775	0.1632	0.8826	0.6168	0.1902	0.5768	0.6158	0.2656	0.1399	0.3037
